Laptops,Core,Display,Gb,Memory,Price,Rating
https://www.flipkart.com/lenovo-ideapad-3-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-15iml05-thin-light-laptop/p/itm6098abbf35cd9?pid=COMG4WZ7Q2YFJGQ6&lid=LSTCOMG4WZ7Q2YFJGQ6DDUOXH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=c1e6473a-d2e6-4471-bfc6-fa767469f6d0.COMG4WZ7Q2YFJGQ6.SEARCH&ppt=hp&ppn=homepage&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,Intel Core i3 Processor (10th Gen),39.62 cm (15.6 inch) Display,31% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,"₹18,100",Off on Exchange
https://www.flipkart.com/asus-ryzen-3-dual-core-3250u-3rd-gen-8-gb-256-gb-ssd-windows-10-home-m515da-bq322ts-thin-light-laptop/p/itm00d893dc25af4?pid=COMG6HNASNQG6XC7&lid=LSTCOMG6HNASNQG6XC7TOWQN2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=c1e6473a-d2e6-4471-bfc6-fa767469f6d0.COMG6HNASNQG6XC7.SEARCH&ppt=hp&ppn=homepage&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,AMD Ryzen 3 Dual Core Processor (3rd Gen),39.62 cm (15.6 inch) Display,23% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,"₹18,100",Off on Exchange
https://www.flipkart.com/asus-tuf-gaming-core-i5-10th-gen-16-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-ti-144-hz-fx506li-hn279t-laptop/p/itm8bdedba0dbeb6?pid=COMG5QHNHD49JGXG&lid=LSTCOMG5QHNHD49JGXGD2WAFT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=c1e6473a-d2e6-4471-bfc6-fa767469f6d0.COMG5QHNHD49JGXG.SEARCH&ppt=hp&ppn=homepage&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,Intel Core i5 Processor (10th Gen),39.62 cm (15.6 inch) Display,30% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,"₹18,100",Off on Exchange
https://www.flipkart.com/lenovo-thinkbook-core-i3-11th-gen-8-gb-512-gb-ssd-windows-10-home-tb15-itl-g2-thin-light-laptop/p/itm16114bdf8a9d8?pid=COMG6VRPEPNUMRTD&lid=LSTCOMG6VRPEPNUMRTD5UV2XQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=en_8tYhzq1f1lr7MRE1cAei2%2BhGflKBznHH15Lqtw3Nh2rdX0aCpR1M%2BXrEpfN8vwNLARRGHUlbBWYSKwsYhYsv0w%3D%3D&ppt=hp&ppn=homepage&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,Intel Core i3 Processor (11th Gen),38.1 cm (15 inch) Display,34% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,"₹18,100",Off on Exchange
,,,,,,
,,,,,,
https://www.flipkart.com/asus-vivobook-ultra-14-core-i3-11th-gen-8-gb-512-gb-ssd-windows-10-home-x413ea-eb321ts-thin-light-laptop/p/itm3a09f973cd1e5?pid=COMFZ3VNPDVBC2UF&lid=LSTCOMFZ3VNPDVBC2UFHSOXVV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_25&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=2fd1369a-ead8-47af-a977-140a9704ec07.COMFZ3VNPDVBC2UF.SEARCH&ppt=sp&ppn=sp&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,Intel Core i3 Processor (11th Gen),35.56 cm (14 inch) Display,5% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,"₹18,100",Off on Exchange
https://www.flipkart.com/lenovo-ideapad-3-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-15iml05-thin-light-laptop/p/itm6098abbf35cd9?pid=COMG4WZ7Q2YFJGQ6&lid=LSTCOMG4WZ7Q2YFJGQ6DDUOXH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_26&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=2fd1369a-ead8-47af-a977-140a9704ec07.COMG4WZ7Q2YFJGQ6.SEARCH&ppt=sp&ppn=sp&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,Intel Core i3 Processor (10th Gen),39.62 cm (15.6 inch) Display,31% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,"₹18,100",Off on Exchange
https://www.flipkart.com/acer-swift-3-intel-evo-11th-gen-core-i5-8-gb-512-gb-ssd-win-10-home-intel-iris-xe-graphics-sf314-511-thin-light-laptop/p/itmad27e796d9a48?pid=COMG69RDFQTDGEHN&lid=LSTCOMG69RDFQTDGEHNFSGLRV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_27&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=2fd1369a-ead8-47af-a977-140a9704ec07.COMG69RDFQTDGEHN.SEARCH&ppt=sp&ppn=sp&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,Intel Core i5 Processor (11th Gen),35.56 cm (14 inch) Display,38% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,,
https://www.flipkart.com/asus-rog-zephyrus-g15-ryzen-9-octa-core-5900hs-16-gb-1-tb-ssd-windows-10-home-6-gb-graphics-nvidia-geforce-rtx-3060-165-hz-ga503qm-hq172ts-gaming-laptop/p/itm22adaf8101aa2?pid=COMG4NWBGU4BPTP3&lid=LSTCOMG4NWBGU4BPTP3LLHFCM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_28&otracker=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_4_na_na_na&fm=SEARCH&iid=en_QUZh30CGT%2B6V19UJhO7GHBEgB6XKVCbACb8haAgBZnFVlJaEYtjABldmJEqOQSLhBbYwzZeMnf6hlpS7xWUHmg%3D%3D&ppt=sp&ppn=sp&ssid=xao8ntvk000000001634539704069&qH=312f91285e048e09,AMD Ryzen 9 Octa Core Processor,39.62 cm (15.6 inches) Display,25% off,https://static-assets-web.flixcart.com/www/linchpin/fk-cp-zion/img/fa_62673a.png,"₹18,100",Off on Exchange
